projectName,projectId,roundType,roundDate,raiseAmount,sourcEuropean UnionRL,
Upshot,2ne1u8,Seed,5/1/2021,7.5,https://www.businesswire.com/news/home/20210506005124/en/Upshot-Raises-7.5-Million-in-Series-A-Led-by-Framework-Ventures-CoinFund-and-Blockchain-Capital,"Framework, CoinFund, Blockchain Capital, Slow, Mechanism, Delphi Digital, CMS, Stani Kulechov, Kain Warwick, Ryan Selkis, Andrew Steinwold, Shayne Coplan, Cooper Turley, Meltem Demirors, Tegan Kline, Tony Sheng, Olive Tree, Andy Chorlian"
Sweat Economy,c0amvh,Series A,7/1/2022,13,https://decrypt.co/106142/step-counter-app-sweatcoin-raises-13m-fund-leap-Web3 Capital,"NEAR, Jump, Electric, Spartan, Jump, GSR, Bjorn Wagner, Sandeep Nailwal, Vinny Lingham"
Stepn,9ptjw7,Seed,1/1/2022,5,https://www.theblock.co/post/130953/solana-move-to-earn-stepn-funding,"Sequoia, Folius, Solana, Alameda, 6th Man, Sfermion, Zhen Cao, Santiago Santos"
XNET,pyz7yz,Preseed,10/1/2022,1,,"Escape Velocity, Borderless"
Petastic,g32gdz,Seed,6/1/2023,3,,"Escape Velocity, Warburg Serres, Nestle"
Lumino,3ttk4l,Seed,1/1/2024,,,"Escape Velocity, Zero Knowledge"
WiFi Map,xz6ffz,Preseed,3/1/2023,1.6,https://medium.com/wifi-map/wifi-is-coming-to-the-trustswap-launchpad-tomorrow-2646117ec46e,"Escape Velocity, M31"
Spexigon,xjyor4,Seed,10/1/2022,5.5,https://finance.yahoo.com/news/software-firm-spexi-raises-us-085832523.html,"Blockchange, Protocol Labs, InDro Robotics, Dapper Labs, FJ Labs, Tamarack Global, Draft, VentureLabs, Alliance, Vinny Lingham, Adam Jackson, CyLon"
Sitenna,xEuropean Union3zu,Seed,5/1/2023,3,https://www.siliconrepublic.com/start-ups/sitenna-funding-telecoms-5g-us-atlanta-canada-expansion-limerick,"Rebel, Merus, Samsung NEXT, YC"
Pollen Mobile,goiapt,Seed,4/1/2022,,https://www.globenewswire.com/en/news-release/2022/04/19/2424680/0/en/Pollen-Mobile-Closes-Seed-Funding-Round-for-Its-Next-Generation-Decentralized-Wireless-Network.html,"Slow, DISH Wireless, Delphi Digital, OVN, Acorn Pacific"
Onocoy,n77nem,Accelerator,7/1/2023,,https://www.startupticker.ch/en/news/onocoy-wins-100-000-from-European Union-agency-space-program,European Union
Natix,uq4s3v,Seed,4/1/2023,3.5,https://www.thesaasnews.com/news/natix-raises-3-5-million-in-seed-round,"Blockchange, XYO, Mysterium Network, CVVC, Mulana, Blockarm, Techstars, Plug and Play, CoinIX"
Metablox,k5fxwj,Seed,3/1/2022,2,https://www.venturecapitaljournal.com/metablox-inks-seed-financing/,"Synergis, Collab+Currency, NFT Technologies, SNZ, Future Life, Slope, CrowdCreate"
Impossible Cloud,qcgu9q,Seed,3/1/2023,7.6,https://venturebeat.com/business/impossible-cloud-raises-7-6m-to-decentralize-cloud-services-with-Web3 Capital/,"HV, 1kx, Protocol Labs, TS, very early"
Really,twhfdd,Seed,2/1/2023,18,https://www.prnewswire.com/news-releases/really-announces-18-million-seed-round-brings-the-sharing-economy-to-mobile-phone-service-301757834.html,"Polychain, FloodGate.io, Habitat, Capital Factory, Alumni, Moonshots"
FX Land,4z5caf,Seed,1/1/2022,1.1,https://www.newswire.ca/news-releases/functionland-raises-1-1m-in-seed-funding-830473543.html,"Outlier, Protocol Labs, Master, Delta Blockchain"
Fleek,7f3dsw,Series A,12/1/2022,25,https://techcrunch.com/2022/12/01/Web3 Capital-developer-platform-fleek-raises-25m-led-by-polychain-capital/,"Polychain, Coinbase, DCG, Protocol Labs, Arweave, North Island, Distributed Global, The LAO, Argonautic"
Fileverse,gtzdge,Seed,10/1/2023,1.5,https://www.coindesk.com/business/2023/10/17/Web3 Capital-powered-file-management-app-raises-15m-to-offer-alternative-to-google/,"Gnosis, Factor, Safe, Mask Network, Galxe, Arweave, Forward Research, DiVentures Scuba and Swim Centers, Westham, Daedalus, Formless, Waterdrip, Balaji Srinivasan, Kenzi Wang, Eleftherios Diakomichalis"
FilSwan,v3ycrj,Seed,1/1/2023,3,https://www.prweb.com/releases/filswan-raises-3m-usd-to-revolutionize-amp-simplify-building-dapps-899321300.html,"Binance, SNZ, Waterdrip, FBG, Protocol Labs, Unicorn Hunter, Chain, LD, The Cabin, Betterverse Dao, Kondr, Filecoin, Chainlink"
Ceramic,ancy5d,Series A,2/1/2022,30,https://www.coindesk.com/business/2022/02/16/Union Square-multicoin-lead-30m-raise-for-3boxs-ceramic-data-network/,"Multicoin, Union Square, Figment, Coinbase, DCG, Protocol Labs, StreamingFast, Warburg Serres, The Fintech, Ambush, Reciprocal, Bitscale, Calm, Red Beard, 6th Man, Underscore, Variant, Hashed, Aria Emiko, Zee Prime, Page One, Cyber.Fund"
Ceramic,ancy5d,Seed,6/1/2019,2.5,https://techcrunch.com/2019/06/26/Web3 Capital-platform-3box-raises-seed-to-bring-back-control-of-user-data/,"Placeholder, Consensys, Venrock, Northzone, Coinfund"
Aleph,shwbn0,Seed,1/1/2022,10,https://www.coindesk.com/business/2022/01/20/alephim-raises-10m-to-compete-with-amazons-storage-and-computing-service/,"Stratos Technologies, Zee Prime, NOIA, Theia, Bitfwd, Ellipti, Incuba Alpha, Rarestone, TRGC, Token, Seven, Chris McCann, Owen Simonin"
4everland,0tmpGoogle,Seed,12/1/2023,2,https://www.coinlive.com/news-flash/405451,"Arweave, Waterdrip, Bing, Forward Research, Web3 Capital.com, Arweave, GTS, Hillstone, Polygon, Protocol labs, Dfinity"
4everland,0tmpGoogle,Preseed,8/1/2021,1.5,https://medium.com/4everland/4everland-has-raised-1-5-million-dollars-in-a-seed-round-435648b411ef,"Fenbushi, FBG, Bixin, Mint, Random Number"
Bagel,0f91ta,Seed,1/23/2024,3.1,https://www.businesswire.com/news/home/20240122875776/en/Bagel-Network-a-Decentralized-ML-Data-Network-Closes-3.1M-Pre-Seed-Round-Led-by-CoinFund,"CoinFund, Protocol Labs, Borderless, Maven 11, Graph Paper, Breed"
Masa,dahm7v,Seed,1/23/2024,5.4,https://www.businesswire.com/news/home/20240123671602/en/Masa-Network-Raises-5.4M-in-Seed-Round-to-Build-the-%E2%80%9CDecentralized-Google%E2%80%9D-for-the-World%E2%80%99s-Personal-Data,"Anagram, Avalanche, DCG, GoldenTree, OP Crypto, Unshackled, PEER VC"
0xScope,0hgye7,Seed,9/1/2022,3,https://cointelegraph.com/press-releases/0xscope-raises-3m-seed-round-to-build-a-new-Web3 Capital-data-layer,"ABCDE, Hash Global, Liang Xinjun, Bonfire Union, Mask Network, Bodl"
0xScope,0hgye7,Seed,1/1/2024,5,https://cointelegraph.com/press-releases/0xscope-v2-launches-with-Web3 Capital-ai-data-layer-focus-5m-new-funding-round,"Hashkey, Redpoint, OKX, GSR, Amber, Antalpha, Main Quad, Mask Network, Hash Global, XIN Family"
RingFence,v84vfv,Seed,1/1/2024,1.5,https://crypto.news/ringfence-announces-1-5m-raise-to-empower-and-reward-creators/,"Rarestone, MorningStar, Curiosity, Noir, Spark Digital"
Ta-Da,5mgqgs,Seed,1/1/2024,3.5,https://siliconangle.com/2024/01/09/Web3 Capital-ai-data-marketplace-ta-da-raises-3-5m-expand-operations/,"GBV, XVentures, NxGen, Spark Digital, MultiversX"
CharacterX,06sxnp,Seed,1/1/2024,2.8,https://www.finsmes.com/2024/01/characterx-raises-2-8m-in-seed-funding.html,"Lightspeed, INCE, Spark Digital, CGoogle FoF, ZC, GRI, Fermion, 84000LP, Fan Zhang"
DeMR,pfd72p,Seed,1/1/2024,,https://coinedition.com/demr-kucoin-labs-first-strategic-investment-in-the-depin-track/,KuCoin
Humanscape,6ixtt2,Seed,10/1/2018,3.1,http://www.cnrhg.asia/en/humanscape-raises-3-1-million-in-series-a-funding/?ckattempt=1,
Humanscape,6ixtt2,Seed,10/1/2019,3.1,https://medium.com/humanscape-ico/humanscape-raises-3-1-million-in-pre-series-b-funding-8e77b1075fd,
Humanscape,6ixtt2,Series A,12/1/2023,15.3,https://www.cointime.ai/flash-news/decentralized-patient-network-humanscape-completed-us-86028,
AIT,ux0c4s,Seed,12/1/2023,,https://www.binance.com/en/feed/post/2023-12-13-ait-protocol-completes-new-funding-round-with-participation-from-multiple-investors-1317935449953,"MorningStar, Megala, Contango, Momentum 6, BasementDAO, Alpha Protocol"
Coral,pwn1js,Seed,11/1/2023,3,https://twitter.com/MyCoralApp/status/1729111661821497641,TeaLink
MyShell,1gfb8a,Seed,10/1/2023,5.6,https://www.theblock.co/post/256691/web-ai-platform-myshell-funding,"Hashkey, Folius, SevenX, OP Crypto"
Kuva,77bx8k,Series A,11/1/2023,17.6,https://payloadspace.com/kuva-raises-17-6m-series-a-will-expand-stateside/,"Voima, Nordic Foodtech VC, Earth VC"
Huddle01,3r2xgz,Seed,4/1/2023,2.8,https://www.prnewswire.com/news-releases/huddle01-raises-2-8m-led-by-hivemind-to-build-the-1st-decentralized-communication-network-301791654.html,"Hivemind, Superscrypt, M31, Protocol Labs, East, LongHash, Good News, Balaji Srinivasan, Stani Kulechov, Dan Romero, Juan Benet"
Antimetal,gzcc2r,Seed,5/1/2023,4.3,https://techcrunch.com/2023/05/08/antimetal-is-putting-ai-to-work-to-root-out-cloud-cost-inefficiencies/,"Framework, Chapter One, IDEO CoLab"
Opolis,ees7sx,Seed,7/1/2023,6.6,https://www.businesswire.com/news/home/20230713231230/en/Blockchain-Employment-Platform-Opolis-Raises-6.6M-in-Bridge-Round,"NEAR, Draper Associates, Polygon"
PublicAI,11aqyc,Seed,1/1/2024,2,https://www.theblock.co/post/274838/Web3 Capital-distributed-ai-training-network-publicai-raises-2m-in-seed-funding-round,"IOBC, Foresight, Solana, Everstate"
Hyperline,y0wpxj,Seed,1/1/2024,5.2,https://twitter.com/hyperline_xyz/status/1749903630415867984,"Slow, South Park Commons, Script, Canonical Crypto, Volt, Picus, Maelstrom"
KIP,wwnksh,Seed,2/1/2024,,https://twitter.com/KIPprotocol/status/1753010295889707304,"Animoca, BARMY, CSP, MQdao, Spicy, Skyvision, Purechain"
Allora,qs7j6q,Seed,2/1/2024,,https://www.businesswire.com/news/home/20240201941258/en/Introducing-Allora-A-Self-Improving-Decentralized-AI-Network,"Polychain, Framework, Blockchain Capital, CoinFund, Delphi Digital, dao5, Distributed Global"
GLIF,mw0azh,Seed,2/1/2024,4.5,https://www.coindesk.com/business/2024/02/06/filecoins-liquid-staker-glif-raises-45m-hints-at-token-airdrop/,"Multicoin, Zee Prime, Dialectic, Big Brain, Fenbushi, Protocol Labs, Mana, FinTech Collective, Vinny Lingham"
YogaPetz,1gh368,Seed,2/1/2024,5,https://twitter.com/Yogapetz/status/1755646539610157102,"Animoca, Newman, Soul"
Dtravel,37xksc,Seed,2/1/2024,,https://ca.finance.yahoo.com/news/dtravel-receives-backing-borderless-capital-202000677.html,Borderless
Zonal,gsucx5,Preseed,12/1/2023,,,Escape Velocity
DePHY,,Seed,16/2/2024,,https://www.theblock.co/post/277656/dephy-secures-seed-funding-round-at-40-million-valuation,"Blockchain Builders, Foresight, IoTeX, Paramita, FutureMoney, Waterdrip, DefinanceX, PAKA, Candaq"
Silencio,5m6dp8,Preseed,18/2/2024,1,https://twitter.com/silencionetwork/status/1759201491821240687,"Borderless, Moonrock, MVGlobal, Cogitent"
Web3Go,,Seed,5/6/2023,4,https://web3go.medium.com/binance-labs-leads-4m-investment-in-web3gos-new-journey-acffd6f1066,"Binance, Hashkey, NGC, Shima, IVC, LIF, Big Brain, Archerman"
Sending Labs,,Seed,16/2/2023,12.5,https://www.coindesk.com/business/2023/02/16/web3-communication-stack-sending-labs-raises-125m/amp/,"Insignia, MindWorks, Signum"
Talus,,Seed,24/2/2024,3,https://twitter.com/talusnetwork/status/1762157302088434040,"Polychain, dao5, Hash3, TRGC, WAGMi, Inception"
GEODNET,scli9r,Seed,28/2/2024,3.5,https://twitter.com/geodnet_/status/1762832718327361794,"North Island, Borderless, Modular, Road, Tangent, Santiago Santos"
PredX,,Preseed,1/2/2024,0.5,https://crypto-fundraising.info/projects/predx/,"Penrose Tech, Mulana",,,,,,
